Depth,Magnitude,INTENSITY,CONTINENT,YEAR.Cat
20,8.6,7,2,2016
10,5.8,6,2,2016
10,5.8,10,2,2016
25.1,8.2,7,2,2016
25.1,8.2,6,2,2016
10,5.8,10,2,2016
10,5.8,10,2,2016
10,5.9,7,2,2016
10,5.9,9,2,2016
8,6,8,2,2016
8,6,7,2,2016
20,6.5,6,2,2016
20,6.5,6,2,2016
10,5.7,8,2,2016
10,5.7,5,2,2016
5,5.5,6,2,2016
5,5.5,6,2,2016
10,6,6,2,2016
10,6,7,2,2016
14.5,5.5,7,2,2016
14.5,5.5,8,2,2016
13.9,5.5,8,3,1990
10,5.6,6,3,2016
15,6.1,7,2,2016
212.9,6.4,5,2,2016
8.9,5.5,8,2,2016
58,7.2,7,2,1970
32.6,5.7,6,2,1970
35,5.6,8,2,1970
31.6,5.5,9,2,1970
20,5.6,8,2,1970
40.7,7,8,2,1970
110.6,6.6,7,6,1970
15,7.3,7,6,1970
35,5.8,10,4,1980
35,6.5,8,4,1980
25,6.8,9,4,1980
330.8,7.7,6,2,1980
150,5.7,7,2,1980
33,6.7,8,2,1990
33,5.8,7,5,1990
17.8,6,7,5,1990
18.8,6.3,7,5,1990
662.8,5.9,6,2,2010
140,6.3,8,2,2010
16,5.7,7,2,2016
79,5.9,9,1,1980
33,5.8,9,1,1980
12.5,6.8,8,2,2000
10,6.7,6,4,2000
20,6.5,10,2,2016
25,7.2,6,6,1970
30,6,4,6,1970
30,7.6,9,6,1970
30,5.8,8,6,1970
30,6.9,8,6,1970
25,6.2,7,3,1970
25,6.2,9,2,1970
35,6.2,7,3,1970
35,6.2,9,2,1970
30,5.8,7,3,1970
30,5.8,9,2,1970
30,5.7,7,3,1970
30,5.7,9,2,1970
25,6.2,7,3,1970
25,6.2,9,2,1970
35,5.6,7,3,1970
35,5.6,9,2,1970
25,7.5,7,3,1970
25,7.5,9,2,1970
13.2,6.3,7,6,1970
45,6.9,6,6,1970
20,5.7,8,6,1970
10,6.2,4,2,1990
33,6.1,5,2,1990
10,5.5,11,2,1990
32.2,5.8,9,2,1990
131.3,5.5,7,5,1990
25.9,5.5,8,2,2000
17.7,5.5,6,2,2000
59.3,5.5,8,2,2000
15.5,6.4,7,2,2000
100.2,6,6,2,2010
10,5.7,9,2,2010
10,6,6,2,2010
10,5.5,7,2,2010
10,6,8,2,2010
7.4,5.7,8,2,2010
13,6,9,5,2010
496.8,5.7,7,2,2016
44,5.8,9,2,2016
10,5.6,7,2,2016
12,6.2,10,2,2016
11,6.4,8,2,2016
16,5.5,7,3,1980
10,5.6,3,1,2000
10.8,6.4,10,1,2000
96,6.6,8,2,2010
25,6.8,8,2,2010
33,7.4,5,6,1980
15,5.5,5,6,1980
24.7,7,8,6,1990
17.9,5.5,8,6,1990
21.5,5.8,7,1,2000
37,7,8,4,2010
37,7,9,4,2010
201.2,5.5,8,4,2010
201.2,5.5,6,4,2010
20,6.1,8,4,2010
20,6.1,6,4,2010
63,6,5,3,2016
40,6.6,9,3,2016
96.63,5.5,9,3,2016
4.41,5.5,5,3,2016
33,5.9,8,5,1980
16.1,5.5,6,4,1990
33,5.6,8,2,2000
33,7.7,8,5,2000
33,5.5,8,5,2000
33,5.6,8,5,2000
