"","Depth","Magnitude","INTENSITY","CONTINENT","YEAR.Cat"
"355",39.5,6.1,6,2,"2016"
"356",39.5,6.1,8,2,"2016"
"357",9.3,6.2,7,2,"2016"
"358",9.3,6.2,7,2,"2016"
"359",9.3,6.2,7,2,"2016"
"360",13.8,5.8,7,2,"2016"
"361",13.8,5.8,7,2,"2016"
"362",13.8,5.8,7,2,"2016"
"363",36.1,5.7,5,2,"2016"
"364",36.1,5.7,9,2,"2016"
"365",36.1,5.7,9,2,"2016"
"366",35,5.5,8,2,"2016"
"367",35,5.5,6,2,"2016"
"368",35,5.5,4,2,"2016"
"369",16,6.6,6,2,"2016"
"370",16,6.6,7,2,"2016"
"371",16,6.6,8,2,"2016"
"372",15.1,5.5,8,2,"2016"
"373",15.1,5.5,5,2,"2016"
"374",15.1,5.5,6,2,"2016"
"375",10,6.2,8,2,"2016"
"376",10,6.2,7,2,"2016"
"377",10,6.2,7,2,"2016"
"378",28.2,5.7,9,2,"2016"
"379",28.2,5.7,6,2,"2016"
"380",28.2,5.7,6,2,"2016"
"381",10,5.7,10,2,"2016"
"382",10,5.7,9,2,"2016"
"383",10,5.7,6,2,"2016"
"384",49.2,6,9,2,"2016"
"385",49.2,6,6,2,"2016"
"386",49.2,6,6,2,"2016"
"387",19.1,5.6,9,2,"2016"
"388",19.1,5.6,7,2,"2016"
"389",19.1,5.6,6,2,"2016"
"390",48.9,5.7,8,2,"2016"
"391",48.9,5.7,6,2,"2016"
"392",48.9,5.7,6,2,"2016"
"393",20.7,5.5,8,2,"2016"
"394",20.7,5.5,6,2,"2016"
"395",20.7,5.5,9,2,"2016"
"396",41,6.1,7,2,"2016"
"397",41,6.1,5,2,"2016"
"398",41,6.1,7,2,"2016"
"399",25.7,6.6,6,2,"2016"
"400",25.7,6.6,5,2,"2016"
"401",25.7,6.6,8,2,"2016"
"402",45.4,6.3,8,2,"2016"
"403",45.4,6.3,6,2,"2016"
"404",45.4,6.3,8,2,"2016"
"405",1.7,5.5,7,2,"2016"
"406",1.7,5.5,6,2,"2016"
"407",1.7,5.5,6,2,"2016"
"408",35,5.7,7,2,"2016"
"409",35,5.7,6,2,"2016"
"410",35,5.7,4,2,"2016"
"411",25.4,6.2,9,2,"2016"
"412",25.4,6.2,8,2,"2016"
"413",25.4,6.2,5,2,"2016"
"414",15.4,5.7,6,2,"2016"
"415",15.4,5.7,7,2,"2016"
"416",15.4,5.7,8,2,"2016"
"417",17.7,5.8,7,2,"2016"
"418",17.7,5.8,7,2,"2016"
"419",17.7,5.8,8,2,"2016"
"420",23.7,5.8,8,2,"2016"
"421",23.7,5.8,7,2,"2016"
"422",23.7,5.8,10,2,"2016"
"423",27.1,6,6,2,"2016"
"424",27.1,6,5,2,"2016"
"425",27.1,6,8,2,"2016"
"426",25.8,5.6,8,2,"2016"
"427",25.8,5.6,7,2,"2016"
"428",25.8,5.6,5,2,"2016"
"429",39.5,5.8,7,2,"2016"
"430",39.5,5.8,7,2,"2016"
"431",39.5,5.8,5,2,"2016"
"432",19.3,5.9,8,2,"2016"
"433",19.3,5.9,6,2,"2016"
"434",19.3,5.9,8,2,"2016"
"435",35,6.3,6,2,"2016"
"436",35,6.3,8,2,"2016"
"437",35,6.3,7,2,"2016"
"438",19.6,5.9,6,2,"2016"
"439",19.6,5.9,7,2,"2016"
"440",19.6,5.9,3,2,"2016"
"441",35,5.7,7,2,"2016"
"442",35,5.7,7,2,"2016"
"443",35,5.7,7,2,"2016"
"444",28.4,6.1,7,2,"2016"
"445",28.4,6.1,7,2,"2016"
"446",28.4,6.1,6,2,"2016"
"447",23.1,5.5,8,2,"2016"
"448",23.1,5.5,7,2,"2016"
"449",23.1,5.5,8,2,"2016"
"450",35,5.6,7,2,"2016"
"451",35,5.6,8,2,"2016"
"452",35,5.6,9,2,"2016"
"453",25.9,5.5,8,2,"2016"
"454",25.9,5.5,8,2,"2016"
"455",25.9,5.5,8,2,"2016"
"456",29,9.1,5,2,"2016"
"457",29,9.1,8,2,"2016"
"458",29,9.1,9,2,"2016"
"459",10,5.7,8,2,"2016"
"460",10,5.7,8,2,"2016"
"461",10,5.7,10,2,"2016"
"462",39.6,6.2,9,2,"2016"
"463",39.6,6.2,7,2,"2016"
"464",39.6,6.2,8,2,"2016"
"465",19.5,5.6,8,2,"2016"
"466",19.5,5.6,9,2,"2016"
"467",19.5,5.6,5,2,"2016"
"468",40.6,6.1,8,2,"2016"
"469",40.6,6.1,5,2,"2016"
"470",40.6,6.1,8,2,"2016"
"471",15.6,5.7,8,2,"2016"
"472",15.6,5.7,8,2,"2016"
"473",15.6,5.7,10,2,"2016"
"474",57.7,5.6,6,2,"2016"
"475",57.7,5.6,9,2,"2016"
"476",57.7,5.6,6,2,"2016"
"477",35,5.7,9,2,"2016"
"478",35,5.7,6,2,"2016"
"479",35,5.7,8,2,"2016"
"480",10.3,5.8,7,2,"2016"
"481",10.3,5.8,7,2,"2016"
"482",10.3,5.8,4,2,"2016"
"483",35,5.8,6,2,"2016"
"484",35,5.8,6,2,"2016"
"485",35,5.8,9,2,"2016"
"486",17.4,6.1,8,2,"2016"
"487",17.4,6.1,7,2,"2016"
"488",17.4,6.1,8,2,"2016"
"489",38.5,5.8,5,2,"2016"
"490",38.5,5.8,7,2,"2016"
"491",38.5,5.8,7,2,"2016"
"492",24.7,6.3,7,2,"2016"
"493",24.7,6.3,8,2,"2016"
"494",24.7,6.3,6,2,"2016"
"495",40.1,6.2,10,2,"2016"
"496",40.1,6.2,7,2,"2016"
"497",40.1,6.2,7,2,"2016"
"498",0.7,5.7,8,2,"2016"
"499",0.7,5.7,5,2,"2016"
"500",0.7,5.7,7,2,"2016"
"501",26.6,5.9,7,2,"2016"
"502",26.6,5.9,5,2,"2016"
"503",26.6,5.9,10,2,"2016"
"504",35.9,6.3,6,2,"2016"
"505",35.9,6.3,8,2,"2016"
"506",35.9,6.3,8,2,"2016"
"507",39.5,5.9,8,2,"2016"
"508",39.5,5.9,5,2,"2016"
"509",39.5,5.9,5,2,"2016"
"510",35,5.8,8,2,"2016"
"511",35,5.8,9,2,"2016"
"512",35,5.8,8,2,"2016"
"513",39.8,5.9,8,2,"2016"
"514",39.8,5.9,8,2,"2016"
"515",39.8,5.9,6,2,"2016"
"516",56.3,6.2,6,2,"2016"
"517",56.3,6.2,6,2,"2016"
"518",56.3,6.2,7,2,"2016"
"519",6.3,5.8,7,2,"2016"
"520",6.3,5.8,7,2,"2016"
"521",6.3,5.8,6,2,"2016"
"522",35,5.7,4,2,"2016"
"523",35,5.7,8,2,"2016"
"524",35,5.7,8,2,"2016"
"525",40.1,5.5,8,2,"2016"
"526",40.1,5.5,4,2,"2016"
"527",40.1,5.5,8,2,"2016"
"528",42.8,6,7,2,"2016"
"529",42.8,6,7,2,"2016"
"530",42.8,6,7,2,"2016"
"531",35,5.6,6,2,"2016"
"532",35,5.6,6,2,"2016"
"533",35,5.6,9,2,"2016"
"534",22.6,5.9,8,2,"2016"
"535",22.6,5.9,8,2,"2016"
"536",22.6,5.9,7,2,"2016"
"537",2.8,6.7,9,2,"2016"
"538",2.8,6.7,8,2,"2016"
"539",2.8,6.7,6,2,"2016"
"540",51.3,5.5,7,2,"2016"
"541",51.3,5.5,9,2,"2016"
"542",51.3,5.5,5,2,"2016"
"543",25.3,5.7,9,2,"2016"
"544",25.3,5.7,4,2,"2016"
"545",25.3,5.7,4,2,"2016"
"546",36.3,5.8,6,2,"2016"
"547",36.3,5.8,6,2,"2016"
"548",36.3,5.8,9,2,"2016"
"549",4.7,5.5,7,2,"2016"
"550",4.7,5.5,8,2,"2016"
"551",4.7,5.5,4,2,"2016"
"552",39.3,5.7,6,2,"2016"
"553",39.3,5.7,7,2,"2016"
"554",39.3,5.7,9,2,"2016"
"555",47.3,6.1,6,2,"2016"
"556",47.3,6.1,7,2,"2016"
"557",47.3,6.1,7,2,"2016"
"558",11.7,6.2,8,2,"2016"
"559",11.7,6.2,8,2,"2016"
"560",11.7,6.2,5,2,"2016"
"561",36.6,5.5,9,2,"2016"
"562",36.6,5.5,8,2,"2016"
"563",36.6,5.5,7,2,"2016"
"564",33.7,5.8,8,2,"2016"
"565",33.7,5.8,8,2,"2016"
"566",33.7,5.8,6,2,"2016"
"567",37.3,6,9,2,"2016"
"568",37.3,6,7,2,"2016"
"569",37.3,6,6,2,"2016"
"570",47.3,5.6,7,2,"2016"
"571",47.3,5.6,7,2,"2016"
"572",47.3,5.6,7,2,"2016"
"573",50.2,5.8,4,2,"2016"
"574",50.2,5.8,8,2,"2016"
"575",50.2,5.8,8,2,"2016"
"576",5.8,5.5,7,2,"2016"
"577",5.8,5.5,8,2,"2016"
"578",5.8,5.5,8,2,"2016"
"579",17,5.5,4,2,"2016"
"580",17,5.5,7,2,"2016"
"581",17,5.5,9,2,"2016"
"582",34.2,5.8,8,2,"2016"
"583",34.2,5.8,8,2,"2016"
"584",34.2,5.8,4,2,"2016"
"585",18.6,7.7,7,2,"2016"
"586",18.6,7.7,9,2,"2016"
"587",18.6,7.7,6,2,"2016"
"588",8.4,5.9,8,2,"2016"
"589",8.4,5.9,8,2,"2016"
"590",8.4,5.9,6,2,"2016"
"591",33.6,5.5,5,2,"2016"
"592",33.6,5.5,9,2,"2016"
"593",33.6,5.5,8,2,"2016"
"594",9.3,5.6,7,2,"2016"
"595",9.3,5.6,7,2,"2016"
"596",9.3,5.6,7,2,"2016"
"597",35,5.5,5,2,"2016"
"598",35,5.5,6,2,"2016"
"599",35,5.5,6,2,"2016"
